Id,League,Date,Time,Round,Home,Away,posicao_home,posicao_away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Total_2HT_H,Media_Total_2HT_A,CV_Media_Total_2HT_H,CV_Media_Total_2HT_A,PPJ_H,CV_Pontos_H,PPJ_A,CV_Pontos_A,Media_primeiro_gol_home,Media_primeiro_gol_away,Media_primeiro_gol_home_sofrido,Media_primeiro_gol_away_sofrido,xg_home,xg_away,xg_jogo,Power_home,Power_away,media_movel_chutes_por_gol_H,media_movel_chutes_por_gol_A,media_chutes_home,media_chutes_away,Porc_Over05HT_Home,Porc_Over15HT_Home,Porc_Under05HT_Home,Porc_Home_Win,Porc_Home_Win_HT,Porc_Over25FT_Home,Porc_BTTS_Home,Media_FT_Corners_H_MAR,Media_FT_Corners_H_SFR,Porc_Over05HT_Away,Porc_Over15HT_Away,Porc_Under05HT_Away,Porc_Away_Win,Porc_Away_Win_HT,Porc_Over25FT_Away,Porc_BTTS_Away,Media_FT_Corners_A_MAR,Media_FT_Corners_A_SFR,Diferente_0x0_Home,Diferente_0x0_Away,Diferente_0x1_Home,Diferente_0x1_Away
ILrIjfDR,INGLATERRA - LEAGUE TWO (4ª DIVISÃO),2024-01-06,12:00,RODADA 27,Newport,Accrington,18.0,9.0,2.6,3.5,2.5,1.73,2.0,1.57,2.25,2.0,1.9,0.12,0.1,1.6,0.79,1.1,1.25,43.33,34.0,45.5,42.11,2.04,1.75,3.79,6.6,2.1,2.26,1.88,4.33,3.17,70.0,40.0,30.0,40.0,40.0,70.0,80.0,3.5,3.5,60.0,40.0,40.0,30.0,20.0,50.0,60.0,4.88,4.88,90.0,100.0,40.0,50.0
0lO0CeHc,INGLATERRA - LEAGUE TWO (4ª DIVISÃO),2024-01-06,12:00,RODADA 27,Notts County,Sutton,5.0,23.0,1.51,4.33,5.54,1.5,2.4,1.57,2.25,2.2,2.4,0.13,0.11,2.1,0.69,0.5,1.94,20.78,62.0,47.62,44.67,1.75,0.8,2.55,2.1,1.5,2.12,2.2,5.33,2.2,90.0,70.0,10.0,70.0,60.0,90.0,70.0,6.75,6.75,60.0,20.0,40.0,10.0,10.0,60.0,70.0,2.86,2.86,100.0,100.0,60.0,60.0
IPI5BFW3,INGLATERRA - LEAGUE TWO (4ª DIVISÃO),2024-01-06,12:00,RODADA 27,Salford,Forest Green,21.0,24.0,2.15,3.5,3.2,1.83,2.03,1.67,2.1,1.6,1.6,0.31,0.2,0.3,1.61,0.8,1.54,38.57,54.33,27.89,25.0,1.62,1.96,3.58,-3.4,0.89,3.88,3.87,4.0,4.0,90.0,50.0,10.0,0.0,20.0,70.0,70.0,3.86,3.86,70.0,40.0,30.0,20.0,10.0,40.0,40.0,5.25,5.25,90.0,90.0,40.0,50.0
dGH9AZoA,INGLATERRA - LEAGUE TWO (4ª DIVISÃO),2024-01-06,12:00,RODADA 27,Swindon,Colchester,16.0,22.0,1.95,3.6,3.6,1.53,2.4,1.44,2.63,2.2,1.8,0.31,0.17,1.6,0.94,0.9,1.61,27.14,46.43,43.43,33.25,1.55,1.13,2.68,2.6,1.9,1.62,2.87,5.2,3.67,90.0,0.0,10.0,50.0,60.0,60.0,40.0,5.57,5.57,70.0,40.0,30.0,30.0,10.0,70.0,50.0,4.38,4.38,100.0,100.0,70.0,70.0
rDizdzXG,INGLATERRA - LEAGUE TWO (4ª DIVISÃO),2024-01-06,12:00,RODADA 27,Wimbledon,Grimsby,7.0,20.0,1.77,3.7,4.3,1.8,1.91,1.73,2.0,2.2,1.5,0.13,0.12,1.5,0.9,0.7,1.36,35.12,45.14,43.38,46.0,1.55,1.48,3.03,2.2,3.5,3.38,1.67,4.6,2.2,80.0,40.0,20.0,40.0,50.0,50.0,60.0,7.43,7.43,70.0,50.0,30.0,10.0,30.0,50.0,60.0,5.43,5.43,100.0,100.0,60.0,40.0
O8AKyEkg,INGLATERRA - LEAGUE ONE (3ª DIVISÃO),2024-01-06,12:00,RODADA 27,Bristol Rovers,Cambridge Utd,10.0,18.0,1.93,3.4,3.81,1.91,1.8,1.75,1.95,1.5,1.7,0.08,0.14,1.7,0.68,0.5,1.94,54.6,61.33,43.33,36.25,1.4,0.69,2.09,4.78,0.44,2.4,2.0,4.29,2.5,80.0,30.0,20.0,40.0,40.0,50.0,90.0,5.25,5.25,60.0,20.0,40.0,10.0,20.0,60.0,50.0,4.25,4.25,100.0,90.0,30.0,60.0
6XaPzY4a,INGLATERRA - LEAGUE ONE (3ª DIVISÃO),2024-01-06,12:00,RODADA 27,Burton,Wycombe,19.0,16.0,2.63,3.3,2.6,2.05,1.75,1.8,1.95,1.1,2.0,0.12,0.15,1.5,0.9,0.9,1.33,26.29,42.29,35.62,60.0,0.98,0.89,1.87,1.5,1.2,1.9,1.75,2.57,3.57,80.0,40.0,20.0,40.0,30.0,50.0,60.0,4.5,4.5,60.0,20.0,40.0,20.0,30.0,70.0,70.0,4.38,4.38,90.0,100.0,50.0,40.0
pObTZiK5,INGLATERRA - LEAGUE ONE (3ª DIVISÃO),2024-01-06,12:00,RODADA 27,Cheltenham,Portsmouth,23.0,1.0,4.5,3.8,1.73,1.95,1.85,1.91,1.91,0.9,1.3,0.27,0.13,1.1,1.25,1.9,0.63,35.33,44.71,38.43,56.0,0.89,0.98,1.87,1.8,5.1,4.0,2.65,3.17,4.83,80.0,30.0,20.0,30.0,30.0,30.0,30.0,3.5,3.5,50.0,30.0,50.0,50.0,40.0,50.0,40.0,6.14,6.14,100.0,70.0,40.0,60.0
Ec3XYBZB,INGLATERRA - LEAGUE ONE (3ª DIVISÃO),2024-01-06,12:00,RODADA 27,Exeter,Carlisle,21.0,22.0,2.1,3.25,3.6,2.3,1.6,2.0,1.75,0.8,1.1,0.43,0.27,1.3,0.96,0.3,1.61,59.2,23.75,31.4,45.2,1.26,0.4,1.66,2.2,-3.4,5.12,3.5,4.5,2.0,40.0,10.0,60.0,30.0,0.0,20.0,30.0,8.0,8.0,60.0,40.0,40.0,0.0,10.0,30.0,40.0,4.14,4.14,70.0,100.0,30.0,20.0
zDitXk4O,INGLATERRA - LEAGUE ONE (3ª DIVISÃO),2024-01-06,12:00,RODADA 27,Leyton Orient,Blackpool,12.0,8.0,3.15,3.45,2.18,2.05,1.75,1.83,1.88,1.1,1.2,0.31,0.59,1.7,0.83,0.6,1.61,32.25,39.5,39.67,36.5,1.39,0.63,2.02,6.4,0.7,3.1,2.0,4.0,2.8,90.0,40.0,10.0,50.0,40.0,40.0,40.0,5.5,5.5,80.0,20.0,20.0,10.0,20.0,50.0,30.0,3.86,3.86,100.0,90.0,40.0,30.0
